likesCount,tweetUrl,action,rtCount,profileUrl,handle,description,name
0,,liked,,,,,
,,RT,0,,,,
141,https://twitter.com/KP_Taipei/status/1209297300436078592,liked,,https://www.twitter.com/@jazzyzeng910,@jazzyzeng910,"Hi, I’m Yuhao. Hangout with me!",Yuhao”The Brighter”Z
141,https://twitter.com/KP_Taipei/status/1209297300436078592,liked,,https://www.twitter.com/@smile_daisuki,@smile_daisuki,freelance translator #translation #翻訳 #翻譯,Daisuke Ito
141,https://twitter.com/KP_Taipei/status/1209297300436078592,liked,,https://www.twitter.com/@pay_onni,@pay_onni,戴上面具，沒有情緒🤖️,PAY
141,https://twitter.com/KP_Taipei/status/1209297300436078592,liked,,https://www.twitter.com/@wen_Taipei,@wen_Taipei,,WanWan
141,https://twitter.com/KP_Taipei/status/1209297300436078592,liked,,https://www.twitter.com/@kyle5241,@kyle5241,,Chien-Chang Chen
141,https://twitter.com/KP_Taipei/status/1209297300436078592,liked,,https://www.twitter.com/@lastrada1974,@lastrada1974,人見知りで虚弱体質な不届きもの、高血圧気味で色弱？ 徹夜とピーマンは苦手。カレー、パクチー、蜜柑、リヴァプールFC、シュルレアリスム、美術、建築（見る方ですが）、街歩き、映画、電気グルーヴ・YMO・小沢健二・Cornelius・盧廣仲とかの音楽、モータースポーツ、プロレス、そして台湾が好き！,🌠タカハシさん🦉🐕
141,https://twitter.com/KP_Taipei/status/1209297300436078592,liked,,https://www.twitter.com/@wei851210,@wei851210,,Lorenzo Chen
141,https://twitter.com/KP_Taipei/status/1209297300436078592,liked,,https://www.twitter.com/@JinHan5762,@JinHan5762,,Jin
141,https://twitter.com/KP_Taipei/status/1209297300436078592,liked,,https://www.twitter.com/@alicepeggy0814,@alicepeggy0814,台灣人  成年 20↑  https://t.co/QRvFSqve7W…,楓
141,https://twitter.com/KP_Taipei/status/1209297300436078592,liked,,https://www.twitter.com/@zerobetweenone,@zerobetweenone,,ララ
141,https://twitter.com/KP_Taipei/status/1209297300436078592,liked,,https://www.twitter.com/@ham_karami,@ham_karami,I like to make things #iot - Founder @lidbot_,Ham.Karami
141,https://twitter.com/KP_Taipei/status/1209297300436078592,liked,,https://www.twitter.com/@uranfftsai,@uranfftsai,,蔡秉修
141,https://twitter.com/KP_Taipei/status/1209297300436078592,liked,,https://www.twitter.com/@jumpjimmy23,@jumpjimmy23,台湾漫画家,楊政諭
