likesCount,tweetUrl,action,rtCount,profileUrl,handle,description,name
0,,liked,,,,,
,,RT,0,,,,
6,https://twitter.com/g0vtw/status/1200355530096537605,liked,,https://www.twitter.com/@EddieChen,@EddieChen,i also make things. now back @cartainc,Eddie Chen 🏳️‍🌈
6,https://twitter.com/g0vtw/status/1200355530096537605,liked,,https://www.twitter.com/@AmyStuddart,@AmyStuddart,trying to make tech work for democracy. eternal optimist. @IRIglobal and Villager (forthcoming).,Amy Studdart
6,https://twitter.com/g0vtw/status/1200355530096537605,liked,,https://www.twitter.com/@RSChiang,@RSChiang,"I tweak free software projects and do law stuff. 
🔬 e-vote / tech regulation / constitutional law",Poren Chiang
6,https://twitter.com/g0vtw/status/1200355530096537605,liked,,https://www.twitter.com/@TheNickMon,@TheNickMon,"Research Director, Digital Intelligence Lab (DigIntel) @iftf. Affiliate at @oiioxford ComProp. Enthusiast of all things disinfo, digital rights, and linguistics",Nick Monaco 🧪
6,https://twitter.com/g0vtw/status/1200355530096537605,liked,,https://www.twitter.com/@fvntr,@fvntr,Building community networks • Caribeño • Director @techqueria,Felipe Ventura
6,https://twitter.com/g0vtw/status/1200355530096537605,liked,,https://www.twitter.com/@m9ZrtQhR4PzRZe6,@m9ZrtQhR4PzRZe6,,周惠華
,https://twitter.com/g0vtw/status/1200355530096537605,RT,1,https://www.twitter.com/@g0vtw,@g0vtw,Ask not why nobody is doing it. You are nobody. Become a nobody: https://t.co/m9u2HlRwSE #opendata #taiwan #opengovernment This account operated by g0v jothon & g0v intl.,g0v.tw | 台灣零時政府
6,https://twitter.com/chihaoyo/status/1200300507710967810,liked,,https://www.twitter.com/@EddieChen,@EddieChen,i also make things. now back @cartainc,Eddie Chen 🏳️‍🌈
6,https://twitter.com/chihaoyo/status/1200300507710967810,liked,,https://www.twitter.com/@AmyStuddart,@AmyStuddart,trying to make tech work for democracy. eternal optimist. @IRIglobal and Villager (forthcoming).,Amy Studdart
6,https://twitter.com/chihaoyo/status/1200300507710967810,liked,,https://www.twitter.com/@RSChiang,@RSChiang,"I tweak free software projects and do law stuff. 
🔬 e-vote / tech regulation / constitutional law",Poren Chiang
